OI;CHNG IN OI;VOLUME;IV;LTP;CHNG;BID QTY;BID;ASK;ASK QTY;STRIKE;BID QTY;BID;ASK;ASK QTY;CHNG;LTP;IV;VOLUME;CHNG IN OI;OI
3;-;5;-;6940.75;-301.35;900;6910.55;7087.75;900;36500;2225;0.2;0.25;725;-1.15;0.2;99.53;64719;-4055;29958
8;-8;16;241.04;6746.05;163.4;-;-;6973.65;875;37000;-;-;0.05;7650;-1.3;0.05;84.18;30136;908;6404
4;-;8;226.91;6250;-160.9;150;5969.9;6069.8;150;37500;450;0.05;0.25;100;-1.5;0.05;77.59;18250;278;1859
6;-1;6;210.57;5745.35;7.25;25;4855.2;5908.9;875;38000;-;-;0.05;3450;-1.55;0.05;71.06;30400;-1955;4025
3;-1;4;248.67;5505;479.65;250;4978.95;5008.5;50;38500;1900;0.15;0.2;125;-1.75;0.2;71.02;19677;-1269;5567
11;-27;33;170.97;4706;154.3;25;2930.25;4579.25;300;39000;-;-;0.05;5200;-2.05;0.05;58.16;46027;-7445;4279
42;-;5;181.33;4325;269.95;375;3928.85;4005.6;25;39500;3150;0.05;0.2;325;-2.2;0.05;51.78;30335;-1386;5580
1;-;-;-;3991.65;-;875;3012.2;4026.1;25;39600;-;-;0.15;2800;-2.15;0.15;54.5;4352;-71;331
-;-;-;-;-;-;125;2926.95;3939.4;25;39700;25;0.1;0.25;1625;-2.35;0.1;51.61;5860;-444;319
-;-;-;-;-;-;25;3222.45;4187.85;900;39800;-;-;0.2;1325;-2.15;0.2;52.92;7842;-70;389
8;8;16;175.84;3965.8;-296.5;900;3509.4;3689;400;39900;375;0.1;0.3;675;-2.25;0.1;48.96;7724;-267;321
48;-76;116;-;3507.95;-485.9;75;3469.05;3503.7;25;40000;5325;0.15;0.25;25;-2.35;0.15;49.08;186461;-15120;34770
4;-;4;111.86;3500;-377.1;875;3081.4;3469.3;300;40100;-;-;0.3;825;-2.3;0.05;44.17;8542;-300;397
-;-;-;-;-;-;25;3209.1;3387.2;25;40200;125;0.1;0.3;1125;-2.45;0.05;42.91;6671;-247;1082
12;-;-;-;3440;-;25;3108.55;3286.55;25;40300;700;0.1;0.3;50;-2.4;0.05;41.65;7600;-293;809
-;-;-;-;-;-;875;2835.05;3233.25;25;40400;-;-;0.2;4025;-2.35;0.2;44.65;7127;-230;851
39;-10;26;94.34;3077;-517.85;875;2939;3004.35;25;40500;600;0.15;0.3;8000;-2.4;0.3;44.72;102317;-6578;23827
-;-;-;-;-;-;25;2808.75;2986.15;25;40600;450;0.1;0.2;675;-2.4;0.2;41.89;10440;-1042;582
-;-1;1;178.23;3355;495;875;2514;2913.85;500;40700;-;-;0.2;10475;-2.65;0.05;36.6;12371;-143;630
1;-;1;147.03;3075;465;875;2371.45;2871.85;500;40800;-;-;0.2;500;-2.7;0.05;35.34;13576;-1032;513
1;-;-;-;2658.85;-;875;2303;2836.95;500;40900;-;-;0.05;25;-2.7;0.05;34.09;18256;-1140;1165
172;-268;357;100.87;2654.85;-400;1200;2421;2648.85;25;41000;-;-;0.05;18500;-2.85;0.05;32.83;516762;-29768;41141
3;-;-;-;2123.6;-;875;1935.3;2696.45;875;41100;-;-;0.05;225;-2.9;0.05;31.57;35557;882;2982
7;-3;8;56.23;2325;-589.35;25;2246.55;2353.75;25;41200;150;0.05;0.25;475;-3;0.05;30.31;46839;-3449;3667
22;-;4;68.65;2259.4;-509.2;875;1993;2259.05;300;41300;-;-;0.05;5300;-3.3;0.05;29.05;50042;374;3786
5;-;2;125.39;2470;269.05;875;1844.25;2334.45;500;41400;-;-;0.1;2600;-3.3;0.05;27.79;41858;-1857;2035
279;-493;651;-;2000.55;-558.25;900;1975.1;2024.8;50;41500;-;-;0.05;136450;-3.55;0.05;26.54;515437;-18065;37074
28;-2;5;-;1906;-550;900;1876.15;1924.9;900;41600;-;-;0.05;13650;-3.55;0.05;25.28;81292;4675;8202
18;-12;29;-;1798.85;-501.15;900;1776.15;1821.25;75;41700;-;-;0.15;450;-3.8;0.05;24.02;98707;1600;6346
18;-5;9;26.26;1709.95;-422.05;900;1676.15;1724.85;25;41800;-;-;0.05;2500;-4.1;0.05;22.75;121456;-5424;3544
17;-2;9;50.35;1648.2;-339.2;900;1576.15;1599.1;75;41900;-;-;0.05;625;-4.15;0.05;21.49;134277;-2082;6201
634;-1142;3478;-;1501.8;-553.7;25;1496.9;1501.8;25;42000;-;-;0.05;25600;-4.45;0.05;20.23;1109793;-32201;56546
219;12;410;-;1396.2;-533.8;25;1381.2;1399.75;150;42100;-;-;0.05;50;-4.6;0.1;19.99;159336;-4481;4596
128;-86;194;-;1297.8;-558.35;900;1281.15;1324.8;50;42200;-;-;0.05;4450;-5;0.05;17.69;204151;-6244;10162
221;-143;649;-;1197.25;-547.75;125;1188.7;1201.85;25;42300;16450;0.05;0.25;300;-5.25;0.05;16.41;239630;-12127;7490
264;-84;566;-;1098.45;-549.05;25;1097.25;1124.05;50;42400;800;0.1;0.25;25;-5.5;0.1;15.99;263892;-3202;9533
510;-529;4644;-;997.3;-551.6;250;996.55;1022.5;25;42500;-;-;0.05;66650;-6.05;0.05;13.86;1441269;-11826;71037
250;-94;1896;-;897.3;-552.85;25;897;920;125;42600;-;-;0.1;5775;-6.45;0.05;12.57;444769;-6765;15378
431;-312;2358;-;799.6;-551.95;25;797.5;800.5;25;42700;-;-;0.05;675;-7;0.05;11.28;667050;3780;24920
542;-1119;7388;-;698.05;-553.7;25;691.3;702.3;25;42800;-;-;0.05;28325;-7.8;0.05;9.98;689685;-5988;27548
558;-680;7189;-;597.5;-558.1;25;597.4;602.45;25;42900;-;-;0.05;5675;-8.8;0.05;8.67;660044;1047;24093
4115;-9678;58702;-;499;-548.6;25;498;499;200;43000;309800;0.05;0.1;1250;-10.1;0.05;7.35;2649436;6292;129795
1513;-394;34322;-;399.2;-561.65;25;398.15;399.55;25;43100;-;-;0.05;2125;-11.35;0.05;6.01;931380;-8565;21121
3635;-377;89369;-;300;-567;25;298.55;299.8;25;43200;3700;0.05;0.2;2175;-12.95;0.2;5.33;1556079;-7962;40286
7250;2490;200077;-;199.45;-569.2;25;198.55;199.45;25;43300;5475;0.1;0.15;3150;-15.95;0.15;3.65;1832722;-5843;42941
17503;11752;673936;-;100;-568.4;175;99.4;99.8;25;43400;25;0.3;0.4;550;-19.75;0.4;2.36;3733280;47195;108603
95619;75517;4260569;-;0.5;-572.65;75;0.4;0.5;3325;43500;875;1.25;1.3;1100;-25.35;1.25;0.51;11659062;36220;160902
103798;94359;6360591;1.51;0.05;-483.85;-;-;0.05;57950;43600;575;99.4;100.5;150;63.75;99.4;4.3;10252929;-34032;33226
96339;79604;6604086;3.32;0.15;-397.7;65000;0.05;0.2;550;43700;100;200.2;201.3;175;151.5;200.2;7.26;10455195;-68060;16375
84100;54817;9809221;5.12;0.25;-317.9;29575;0.05;0.25;225;43800;200;300;300.4;25;233.3;300.95;10.01;13566030;-58354;22356
91913;55085;12522564;6.49;0.2;-242.95;30825;0.1;0.2;2625;43900;25;400.05;400.3;175;306.9;400.3;12.27;11675065;-56008;24315
152765;13431;16103850;8.3;0.3;-176.95;925;0.2;0.3;25;44000;125;500.9;501.3;50;372.55;501;14.8;12025367;-89889;30611
76231;-12874;9826846;9.6;0.25;-123.45;50;0.2;0.25;800;44100;25;599.55;601.75;25;425.6;599.6;16.58;5283375;-36665;9591
61239;-33870;6543304;10.51;0.15;-82.3;5700;0.15;0.2;1200;44200;125;700.15;701.9;25;469.05;701.35;19.4;2342064;-18980;6312
38642;-27515;3885027;12.19;0.2;-52.25;1125;0.15;0.2;2950;44300;25;800.3;802.1;75;499;801.4;21.59;1066019;-8832;2820
34760;-31023;2622054;13.86;0.2;-31.95;4075;0.15;0.25;200;44400;25;898.65;901.5;25;518.95;901;23.54;427833;-2004;2326
123782;22387;3545736;14.93;0.2;-19.45;775;0.2;0.35;500;44500;25;1000;1001.2;25;529.05;1001.3;25.75;366228;-2924;4048
24969;-47541;1668883;15.33;0.1;-11.75;-;-;0.05;50;44600;25;1100.2;1102.9;100;538.8;1102.6;28.38;53913;-1476;1581
29778;-28620;1276195;15.72;0.05;-7.75;80775;0.05;0.1;900;44700;150;1193.3;1203.25;125;541;1202.85;30.55;44507;-356;570
29335;-9748;1053723;18.93;0.2;-5.8;900;0.1;0.2;325;44800;50;1300.55;1303.75;825;547.5;1300.8;31.57;8092;197;885
16382;-5612;721280;18.11;0.05;-4.9;-;-;0.05;3675;44900;900;1391.15;1416.1;50;562.4;1414.05;39.16;5338;-68;383
134108;-2502;2117093;21.02;0.15;-4.35;124375;0.1;0.15;63075;45000;25;1498;1501.85;150;542.55;1500.9;35.52;9150;-346;610
17933;1219;408266;20.47;0.05;-3.75;-;-;0.05;17575;45100;75;1599.2;1619.85;200;539.85;1599.65;36.7;351;-11;52
10734;-9373;366187;21.64;0.05;-3.4;-;-;0.15;600;45200;900;1681.15;1719.9;900;540.05;1695.1;35.12;135;-17;24
11219;-6726;248693;22.8;0.05;-3.05;-;-;0.15;175;45300;75;1791.95;1819.9;900;487.75;1726.65;-;32;-3;22
6938;1631;176243;27.17;0.25;-2.55;21875;0.05;0.25;375;45400;75;1900.35;1919.85;725;538.2;1891.95;34.65;107;-1;14
52407;-13518;941746;25.11;0.05;-2.65;42150;0.05;0.1;50;45500;25;1975.2;2004.3;75;538.7;1999.8;44.22;1054;-39;37
7774;565;137182;26.25;0.05;-2.55;-;-;0.15;175;45600;900;2075.1;2119.9;900;507.9;2075.8;-;55;-4;14
4052;1868;86024;28.79;0.1;-2.3;900;0.1;0.25;625;45700;25;2197.25;2213.2;25;-2041.05;1607.75;-;2;1;1
7415;6450;85042;29.97;0.1;-2.2;400;0.1;0.25;900;45800;900;2206.95;2359.75;25;-;-;-;-;-;-
3752;3391;64288;32.13;0.15;-2.05;350;0.15;0.2;1875;45900;75;2389.4;2418.3;25;-;-;-;-;-;-
64905;10359;886362;32.32;0.1;-1.95;1350;0.1;0.15;2100;46000;75;2501.4;2519.65;50;469.65;2418.2;-;13;-1;10
38663;13098;341082;36.28;0.05;-1.55;-;-;0.05;201850;46500;150;2950.4;3071.1;50;-;2440;-;-;-;4
39211;4506;377998;41.69;0.05;-1.4;-;-;0.05;47400;47000;500;3324.3;3773.55;500;-;3393.2;-;-;-;22
8042;-794;89731;47;0.05;-1.4;25;0.05;0.1;150;47500;50;3991.2;4087.4;225;-;3506.25;-;-;-;44
9835;-6301;180208;52.21;0.05;-1.25;1800;0.05;0.1;3200;48000;150;4409.25;4588;150;-;4402.65;-;-;-;18
31652;154;92823;60.01;0.1;-1.25;5575;0.1;0.15;2800;48500;50;4972.5;5009.65;50;-20.65;4502.7;-;2;-;102
11094;3839;89621;65.25;0.1;-1.3;75;0.1;0.2;1775;49000;50;5409.1;5585.45;50;-;-;-;-;-;-
