datetime,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY.1,BID.1,ASK.1,ASK QTY.1,CHNG.1,LTP.1,IV.1,VOLUME.1,CHNG IN OI.1,OI.1
2022-12-12 11:41:55.200,256.0,2.0,115.0,0.0,1544.6,45.95,125.0,1470.35,1623.3,875,42100,300.0,12.8,14.8,250.0,-6.65,14.6,16.63,141022.0,1086.0,6388.0
2022-12-12 11:46:58.800,206.0,-3.0,103.0,0.0,1390.0,-38.0,500.0,1424.4,1461.75,25,42200,1000.0,15.3,16.45,25.0,-9.05,15.3,15.91,248290.0,300.0,17189.0
2022-12-12 11:52:02.400,446.0,-10.0,272.0,0.0,1345.9,19.8,775.0,1256.05,1353.15,25,42300,25.0,17.2,18.5,250.0,-10.6,17.1,15.37,263582.0,4219.0,18390.0
2022-12-12 11:57:06.000,318.0,7.0,348.0,0.0,1245.8,47.35,250.0,1225.4,1253.4,25,42400,475.0,20.8,21.95,200.0,-12.05,20.7,15.06,311774.0,10689.0,25864.0
2022-12-12 12:02:09.600,2210.0,-797.0,13968.0,0.0,1149.0,20.6,25.0,1138.15,1148.95,25,42500,450.0,24.15,25.0,125.0,-13.45,25.0,14.75,738888.0,16597.0,54383.0
2022-12-12 12:07:13.200,430.0,136.0,3750.0,0.0,1056.75,2.8,125.0,1039.45,1061.0,50,42600,25.0,28.05,29.4,225.0,-14.65,29.5,14.34,346224.0,5701.0,25672.0
2022-12-12 12:12:16.800,970.0,155.0,3661.0,0.0,949.4,-10.05,125.0,943.45,968.05,25,42700,25.0,32.75,34.65,25.0,-19.1,34.65,13.91,409142.0,-1462.0,18736.0
2022-12-12 12:17:20.400,1044.0,143.0,8223.0,0.0,862.0,4.2,25.0,851.35,870.5,25,42800,50.0,40.1,41.0,925.0,-23.6,40.8,13.47,564202.0,3648.0,24115.0
2022-12-12 12:22:24.000,1015.0,128.0,10330.0,0.0,773.15,-6.5,25.0,760.6,780.1,25,42900,50.0,46.25,50.0,200.0,-31.3,46.25,12.86,623239.0,10078.0,25677.0
2022-12-12 12:27:27.600,19093.0,3615.0,159517.0,0.0,670.45,-18.45,25.0,677.35,688.45,50,43000,25.0,57.5,59.8,25.0,-35.0,58.3,12.66,1731287.0,7379.0,65136.0
2022-12-12 12:32:31.200,5097.0,-1331.0,59744.0,0.0,595.0,-14.25,50.0,595.0,601.7,25,43100,275.0,71.05,75.0,50.0,-41.0,71.9,12.38,838536.0,9356.0,26731.0
2022-12-12 12:37:34.800,7366.0,38.0,177803.0,3.94,505.2,-28.75,25.0,505.0,519.2,175,43200,375.0,87.0,91.1,25.0,-50.7,87.5,12.05,1090801.0,11896.0,44285.0
2022-12-12 12:42:38.400,17524.0,624.0,389870.0,6.25,425.7,-38.25,200.0,425.65,441.0,25,43300,2500.0,110.3,115.0,850.0,-55.65,111.4,11.98,1271596.0,15128.0,45708.0
2022-12-12 12:47:42.000,20077.0,4048.0,891504.0,7.11,355.0,-43.6,1175.0,355.05,369.9,25,43400,325.0,140.0,144.05,1325.0,-60.5,141.25,11.98,1602019.0,1099.0,39211.0
2022-12-12 12:52:45.600,64503.0,19932.0,2784699.0,8.05,300.0,-39.2,2325.0,300.0,302.95,25,43500,350.0,179.8,182.0,1450.0,-60.3,179.8,12.12,3352801.0,19916.0,74002.0
2022-12-12 12:57:49.200,52064.0,18517.0,2341129.0,8.29,242.0,-44.1,100.0,242.55,249.45,100,43600,200.0,220.6,226.0,25.0,-55.95,226.0,12.35,2592003.0,15803.0,44953.0
2022-12-12 13:02:52.800,78832.0,55765.0,3294459.0,8.53,193.0,-42.55,525.0,193.0,198.95,25,43700,25.0,269.75,280.0,1150.0,-54.95,279.65,12.65,2870808.0,26581.0,35689.0
2022-12-12 13:07:56.400,70003.0,52914.0,2747390.0,8.94,156.0,-36.85,8100.0,150.0,155.95,25,43800,25.0,323.5,336.75,50.0,-52.2,336.75,12.84,1933818.0,15819.0,20656.0
2022-12-12 13:13:00.000,39045.0,27573.0,1578537.0,8.81,115.0,-39.4,800.0,115.0,120.0,100,43900,25.0,386.75,402.35,1450.0,-63.85,386.4,12.45,897533.0,7358.0,8657.0
2022-12-12 13:18:03.600,88786.0,41189.0,2454991.0,8.97,87.05,-35.7,2000.0,87.05,89.95,25,44000,25.0,461.1,465.0,2075.0,-51.45,465.0,13.16,796081.0,9284.0,14882.0
2022-12-12 13:23:07.200,31688.0,17722.0,1037948.0,9.06,64.0,-32.45,25.0,64.0,66.0,25,44100,25.0,533.1,542.0,25.0,-38.3,542.0,13.62,142029.0,2402.0,2894.0
2022-12-12 13:28:10.800,44127.0,18922.0,1071860.0,9.21,47.15,-28.5,200.0,47.1,49.95,25,44200,50.0,615.55,625.0,25.0,-43.8,625.0,14.21,79545.0,3615.0,4009.0
2022-12-12 13:33:14.400,37065.0,20366.0,857758.0,9.45,35.35,-23.5,375.0,35.0,38.0,200,44300,250.0,695.4,721.05,100.0,-35.75,707.4,14.63,17011.0,1495.0,1793.0
