OI;CHNG IN OI;VOLUME;IV;LTP;CHNG;BID QTY;BID;ASK;ASK QTY;STRIKE;BID QTY;BID;ASK;ASK QTY;CHNG;LTP;IV;VOLUME;CHNG IN OI;OI
64503;19932;2784699;8.05;300;-39.2;2325;300;302.95;25;43500;350;179.8;182;1450;-60.3;179.8;12.12;3352801;19916;74002
52064;18517;2341129;8.29;242;-44.1;100;242.55;249.45;100;43600;200;220.6;226;25;-55.95;226;12.35;2592003;15803;44953
78832;55765;3294459;8.53;193;-42.55;525;193;198.95;25;43700;25;269.75;280;1150;-54.95;279.65;12.65;2870808;26581;35689
70003;52914;2747390;8.94;156;-36.85;8100;150;155.95;25;43800;25;323.5;336.75;50;-52.2;336.75;12.84;1933818;15819;20656
39045;27573;1578537;8.81;115;-39.4;800;115;120;100;43900;25;386.75;402.35;1450;-63.85;386.4;12.45;897533;7358;8657
88786;41189;2454991;8.97;87.05;-35.7;2000;87.05;89.95;25;44000;25;461.1;465;2075;-51.45;465;13.16;796081;9284;14882
31688;17722;1037948;9.06;64;-32.45;25;64;66;25;44100;25;533.1;542;25;-38.3;542;13.62;142029;2402;2894
44127;18922;1071860;9.21;47.15;-28.5;200;47.1;49.95;25;44200;50;615.55;625;25;-43.8;625;14.21;79545;3615;4009
37065;20366;857758;9.45;35.35;-23.5;375;35;38;200;44300;250;695.4;721.05;100;-35.75;707.4;14.63;17011;1495;1793
33616;14071;653447;9.64;26;-19.6;425;26;27.95;25;44400;25;794.3;811.85;75;-42.8;804.55;15.78;16415;1636;1783
52647;17114;1008842;10.22;22.35;-14.1;475;21;22.35;275;44500;275;892;904.3;25;-46.25;902.35;16.93;25964;719;2474
26866;16350;488400;10.53;17.4;-10.95;25;15.5;17.35;25;44600;25;982.6;1062;250;-23.75;995.8;17.75;2067;386;428
16618;9722;462153;10.68;12.65;-10.25;25;12.6;14;1025;44700;25;1079.7;1140.85;675;-46;1079.5;17.82;903;285;293
19687;10910;400910;10.86;9.3;-9.85;150;11;11.55;50;44800;1300;1176.4;1194.85;125;-24.2;1178.3;18.87;1446;359;407
11058;6121;247097;11.95;10.7;-5.4;25;9.5;11.1;125;44900;175;1275.85;1338.2;75;-12.95;1275.55;19.79;187;64;74
55401;10270;689357;12.34;8.9;-5.3;150;8.9;9.7;425;45000;125;1377.5;1384;25;-13.1;1385.8;21.69;2512;330;580
9006;3304;161961;12.79;7.7;-4.35;900;7.65;9.9;50;45100;750;1417.7;1497.6;50;-2173.25;1437.2;18.43;55;26;26
9869;5670;184588;13.55;7.75;-2.95;10000;6.35;7.75;475;45200;750;1460.6;1622.5;50;-2072.45;1619.75;26.46;25;11;11
6459;1862;114759;13.94;6.65;-3.05;850;6.65;7.25;625;45300;1725;1594.95;1729.85;50;-178.9;1633.45;19.92;11;4;5
4043;4043;81244;15.11;8.05;-335;25;6.8;8.05;75;45400;2475;1687.05;1808.05;50;-2029.6;1828;29.31;12;6;6
60985;29304;461091;15.39;6.7;-1.75;225;6.75;7.35;50;45500;750;1803.7;1955.75;1825;-25.9;1835.15;21.99;102;24;35
4965;4965;78401;15.93;6.25;-305.95;50;4.5;6.25;550;45600;750;1894.3;1999.75;150;-2004.6;2020.95;30.99;7;7;7
64746;40794;468141;18.63;6.15;0.15;125;6.1;6.2;50;46000;750;2286.25;2446.9;1675;-;-;-;-;-;-
29670;21405;260320;21.49;5.25;0.4;25;5.25;5.3;200;46500;750;2777.7;2942.45;625;-1905.05;2903.35;38.7;6;4;4
23263;15386;194522;23.97;4.2;-0.1;850;4.2;4.65;25;47000;750;3283.05;3457.25;625;-1866.4;3393.2;42.44;22;22;22
10422;7795;87973;26.5;3.6;-0.4;2475;3.6;4.5;1025;47500;750;3760.2;3941.9;275;-1786.65;3933.5;51.17;67;34;34
11328;8301;106069;29.11;3.3;-0.55;10000;3.2;3.3;600;48000;750;4261.2;4438.1;150;-1785.75;4402.65;52.53;18;18;18
28669;19816;197676;31.6;3;-0.7;11675;3;3.05;9425;48500;750;4760.4;4968.05;275;-1787.8;4875.2;53.44;208;100;100
