OI;CHNG IN OI;VOLUME;IV;LTP;CHNG;BID QTY;BID;ASK;ASK QTY;STRIKE;BID QTY;BID;ASK;ASK QTY;CHNG;LTP;IV;VOLUME;CHNG IN OI;OI
136610;55041;1015069;20.35;4.25;-2.55;100;4.15;4.25;1450;45000;25;974.15;980.25;25;-88.45;980.9;33.22;7582;40;956
16714;3037;268597;21.49;3.5;-2.2;275;3.5;4.3;50;45100;250;1040.5;1091.35;250;-102.2;1073.7;33.94;396;33;63
20107;6503;250701;23.26;3.55;-1.5;1125;2.9;3.6;125;45200;300;1138.65;1200.9;300;-113.1;1170;35.29;166;17;41
17945;3524;237240;24.81;3.4;-1.2;25;2.9;3.5;175;45300;300;1240.6;1290.05;300;-136.45;1238.9;19.28;83;2;25
5307;-837;117900;26.43;3.35;-0.6;325;2.5;3.35;150;45400;250;1339.95;1397.6;250;-76.95;1393.15;45.87;132;4;15
65925;12983;554269;27.28;2.7;-0.95;50;2.6;2.7;650;45500;25;1471.55;1480.85;25;-93.5;1475.4;43.65;821;24;76
7209;48;83445;29.22;2.95;-0.45;800;1.65;2.95;600;45600;25;1571.1;1640.55;250;-453.05;1567.9;43.54;48;11;18
2184;-886;43411;29.93;2.35;-0.9;550;2.05;2.95;350;45700;2675;1594.65;1732.5;1925;-;-;-;-;-;-
965;965;48633;31.32;2.25;-326.55;425;1.75;3;250;45800;750;1708.15;1829.45;300;-;-;-;-;-;-
361;361;21566;32.58;2.1;-311;75;2.15;2.25;50;45900;750;1792.7;1945;300;-;-;-;-;-;-
54546;-1976;425599;33.69;1.9;-1.15;500;2;2.1;175;46000;250;1960.05;1992.95;1450;-2421.1;1947.2;41.65;22;11;11
25565;-6299;166752;40.11;1.55;-0.85;4900;1.55;1.6;1975;46500;225;2432.8;2493.7;225;-153;2440;40.88;1;-1;4
34705;4402;178416;47.28;1.6;-0.5;2475;1.55;1.6;5725;47000;750;2887.05;3052.95;1200;-;3393.2;-;-;-;22
8836;-2553;53922;53.57;1.45;-0.55;2700;1.35;1.45;4275;47500;800;3388.05;3482.95;125;-427.25;3506.25;96.11;146;10;44
16136;-1718;101944;59.31;1.25;-0.7;7600;1.25;1.3;19650;48000;750;3883.65;4053.55;300;-;4402.65;-;-;-;18
31498;-7889;57664;65.47;1.2;-0.7;4750;1.2;1.25;600;48500;750;4384.05;4520.85;300;-116.75;4523.35;121.96;5;3;102
7255;7255;31625;73.04;1.45;-49;2700;1.2;1.45;1125;49000;300;4948.9;5056.55;750;-;-;-;-;-;-
